Facility ID,Facility Name,Facility Type,Ownership,Operational Status,Province,District,Services
2577,Mutenda Rural Health Centre,Health Centre,MOH,Functional,Copperbelt,Chingola,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
4093,Chitapo Health Post,Health Post,MOH,Functional,Muchinga,Mafinga,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3547,Katanga Health Post,Health Post,MOH,Functional,Muchinga,Mafinga,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3056,Chisanza Rural Health Centre,Health Centre,MOH,Functional,Northern,Mpulungu,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
1239,Rusangu University Health Centre,Health Centre,MOH,Functional,Southern,Monze,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3494,Nsama Rural Health Centre,Health Centre,MOH,Functional,Northern,Nsama,"ART & VMMC; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services; General Practice Consultation & Treatment"
2798,Shikamushile Rural Health Centre,Health Centre,MOH,Functional,Luapula,Chifunabuli,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
4094,Itontela Health Post,Health Post,MOH,Functional,Muchinga,Mafinga,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3168,Marian Health Post,Health Post,Faith Based,Functional,Lusaka,Chilanga,N/A
1361,Mtendere Mission Hospital,2nd Level Hospital,MOH,Functional,Southern,Chirundu,Surgery; Critical Care Medicine (Intensive and High Dependency Care); Dental; Ophthalmology; Palliative care services; Patient Referral and Transfer; Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Imaging such as radiology and sonography including CT Scan (Simple nd Special); Blood Bank Hub-Provincial Centre; Mortuary Services; Laboratory Services; Internal Medicine (Infectious and Non-Communicable Medicine); Obstetrics and Gynaecology; Pediatrics
1597,Kapopo Health Post,Health Post,MOH,Functional,Central,Chibombo,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4426,Pharco Life Medical Centre,Health Centre,Private,Functional,Lusaka,Lusaka,N/A
4277,Lusaka Adventist Dental Services,Dental clinic,Faith Based,Functional,Lusaka,Lusaka,N/A
4366,Great North Road Academy Rehabilitation Centre,Rehabilitation centre,Private,Functional,Lusaka,Lusaka,N/A
3893,Dove Medical Clinic,General clinic,Private,Functional,Lusaka,Lusaka,N/A
1005,Chinsanka Rural Health Center,Health Centre,MOH,Functional,Luapula,Samfya,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
1360,Chikani Rural Health Post,Health Post,MOH,Functional,Southern,Chikankata,"Maternity; Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2676,Kalyongo Rural Health Center,Health Centre,MOH,Functional,Luapula,Mansa,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
4075,Kalenge Health Post,Health Post,MOH,Functional,Western,Sioma,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1803,Mayukwayukwa 2 Rural Health Centre,Health Centre,MOH,Functional,Western,Kaoma,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
4042,Kayimba Health Post,Health Post,MOH,Functional,North-Western,Zambezi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
4095,Sichitambule Health Post,Health Post,MOH,Functional,Muchinga,Mafinga,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3333,Mwando Health Post,Health Post,MOH,Functional,Northern,Lupososhi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3991,Kashima West Health Post,Health Post,MOH,Functional,North-Western,Mufumbwe,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
3102,Mery Berg Urban Health Centre,Health Centre,Private,Functional,Copperbelt,Ndola,N/A
3610,Ukwimi A Rural Health Centre,Health Centre,MOH,Functional,Eastern,Lusangazi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Dental; Laboratory Services; Public Health Services; ART & VMMC"
2947,Kalonda Health Post,Health Post,MOH,Functional,Northern,Mpulungu,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4377,Kamanengu Health Post,Health Post,MOH,Functional,North-Western,Mwinilunga,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services; General Practice Consultation & Treatment; Maternity"
3239,Senanga Urban Health Centre,Health Centre,MOH,Functional,Western,Senanga,"General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services; ART & VMMC"
1484,Nalolo Rural Health Centre,Health Centre,MOH,Functional,Western,Nalolo,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
1326,Chipepo Health Centre,Health Centre,MOH,Functional,Southern,Chirundu,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
1498,Mwalumina Rural Health Center,Health Centre,MOH,Functional,Lusaka,Chongwe,"Dental; Laboratory Services; Public Health Services; ART & VMMC; General Practice Consultation & Treatment; Maternity; MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1635,Ilundu Namataa Health Post,Health Post,MOH,Functional,Western,Limulunga,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2713,Kakoma Rural Health Center,Health Centre,MOH,Functional,North-Western,Mwinilunga,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3799,Shacele Health Post,Health Post,MOH,Functional,Central,Shibuyunji,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services; General Practice Consultation & Treatment; Maternity"
