facility_code,service_category,service_group,service_detail
2807,Maternity,Maternity,Maternity
2807,Dental,Dental,Dental
2807,Laboratory Services,Laboratory Services,Laboratory Services
2807,ART & VMMC,ART & VMMC,ART & VMMC
3957,Maternity,Maternity,Maternity
3957,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3957,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3957,Public Health Services,Public Health Services,Public Health Services
3523,Public Health Services,Public Health Services,Public Health Services
3523,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3523,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3523,Maternity,Maternity,Maternity
2772,Maternity,Maternity,Maternity
2772,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2772,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2772,Public Health Services,Public Health Services,Public Health Services
4166,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
4166,Public Health Services,Public Health Services,Public Health Services
4166,Maternity,Maternity,Maternity
4166,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1026,Maternity,Maternity,Maternity
1026,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1026,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1026,Public Health Services,Public Health Services,Public Health Services
2839,Imaging such as radiology and sonography including CT Scan (Simple nd Special),Imaging such as radiology and sonography including CT Scan (Simple nd Special),Imaging such as radiology and sonography including CT Scan (Simple nd Special)
2839,Blood Bank Hub-Provincial Centre,Blood Bank Hub-Provincial Centre,Blood Bank Hub-Provincial Centre
2839,Mortuary Services,Mortuary Services,Mortuary Services
2839,Laboratory Services,Laboratory Services,Laboratory Services
2839,Internal Medicine (Infectious and Non-Communicable Medicine),Internal Medicine (Infectious and Non-Communicable Medicine),Internal Medicine (Infectious and Non-Communicable Medicine)
2839,Obstetrics and Gynaecology,Obstetrics and Gynaecology,Obstetrics and Gynaecology
2839,Pediatrics,Pediatrics,Pediatrics
2839,Surgery,Surgery,Surgery
2839,Critical Care Medicine (Intensive and High Dependency Care),Critical Care Medicine (Intensive and High Dependency Care),Critical Care Medicine (Intensive and High Dependency Care)
2839,Dental,Dental,Dental
2839,Ophthalmology,Ophthalmology,Ophthalmology
2839,Palliative care services,Palliative care services,Palliative care services
2839,Patient Referral and Transfer,Patient Referral and Transfer,Patient Referral and Transfer
2839,Physiotherapy and Rehabilitation,Physiotherapy and Rehabilitation,Physiotherapy and Rehabilitation
2839,Psychiatry and Mental Health,Psychiatry and Mental Health,Psychiatry and Mental Health
2863,Maternity,Maternity,Maternity
2863,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2863,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2863,Public Health Services,Public Health Services,Public Health Services
4194,Public Health Services,Public Health Services,Public Health Services
4194,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
4194,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
4194,Maternity,Maternity,Maternity
2342,Dental,Dental,Dental
2342,Ophthalmology,Ophthalmology,Ophthalmology
2342,Obstetrics and Gynaecology,Obstetrics and Gynaecology,Obstetrics and Gynaecology
2342,Palliative care services,Palliative care services,Palliative care services
2342,Patient Referral and Transfer,Patient Referral and Transfer,Patient Referral and Transfer
2342,Physiotherapy and Rehabilitation,Physiotherapy and Rehabilitation,Physiotherapy and Rehabilitation
2342,Psychiatry and Mental Health,Psychiatry and Mental Health,Psychiatry and Mental Health
2342,Imaging such as radiology and sonography (Simple and Special),Imaging such as radiology and sonography (Simple and Special),Imaging such as radiology and sonography (Simple and Special)
2342,Surgery,Surgery,Surgery
2342,Resuscitation and Emergency Medicine,Resuscitation and Emergency Medicine,Resuscitation and Emergency Medicine
2342,Critical Care Medicine (High Dependency Care),Critical Care Medicine (High Dependency Care),Critical Care Medicine (High Dependency Care)
2342,Internal Medicine (Infectious and None Communicable Medicine),Internal Medicine (Infectious and None Communicable Medicine),Internal Medicine (Infectious and None Communicable Medicine)
2342,Laboratory Services,Laboratory Services,Laboratory Services
2762,Maternity,Maternity,Maternity
2762,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2762,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2762,Public Health Services,Public Health Services,Public Health Services
3637,Public Health Services,Public Health Services,Public Health Services
3637,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3637,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3637,Maternity,Maternity,Maternity
1203,Maternity,Maternity,Maternity
1203,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1203,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1203,Public Health Services,Public Health Services,Public Health Services
1323,Maternity,Maternity,Maternity
1323,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
