facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Oyediran Primary Health Clinic,29/23/1/1/1/0025,Primary,Public,7.626676667,4.102773333,Osun,NA
Orsu Ihitte Ukwa Model Primary Health Center,16/22/1/1/1/0005,Primary,Public,5.82478954065,6.95378953939,Imo,NA
Gbatse Primary Health Clinic,07/22/1/1/1/0047,Primary,Public,6.996598333,9.25712,Benue,NA
Ipetu Ijesa State Hospital,29/28/1/1/1/0032,Secondary,Public,7.465763333,4.901161667,Osun,NA
Lagos (Shell) Medical Center,24/14/1/1/2/0020,Primary,Private,6.447936667,3.397198333,Lagos,NA
Idabi Primary Health Clinic,07/16/1/1/1/0033,Primary,Public,7.225281667,8.02607,Benue,NA
Ijoh Primary Health Clinic,07/06/1/1/1/0061,Primary,Public,7.717743333,8.744281667,Benue,NA
Igbindo Primary Health Clinic,28/16/1/1/1/0023,Primary,Public,6.96419,4.71452,Ondo,NA
God Is Able Amato Alike Maternity,16/16/1/1/2/0036,Primary,Private,5.55627,7.32448,Imo,NA
Olan Medical Center,24/11/1/2/2/0105,Secondary,Private,6.54084,3.39181,Lagos,NA
Umudibia Nekede Health Post,16/27/1/1/1/0026,Primary,Public,5.445694327,7.039167881,Imo,NA
Kuru 3 Primary Health Clinic,31/06/1/1/1/0024,Primary,Public,9.69193,8.87341,Plateau,NA
Gidan Dabat Primary Health Clinic,31/14/1/1/1/0023,Primary,Public,8.7187535,9.2305762,Plateau,NA
Patiko Primary Health Clinic,31/11/1/1/1/0070,Primary,Public,9.6723305,9.1400335,Plateau,NA
Doss Primary Health Clinic,31/11/1/1/1/0016,Primary,Public,9.713111801,9.1540185920001,Plateau,NA
Igburowo Basic Health Center,28/13/1/1/1/0018,Primary,Public,6.92608,4.88213,Ondo,NA
Chibuike Maternity Home,11/05/1/1/2/0001,Primary,Private,6.17291,8.027181667,Ebonyi,NA
Emerie Amangballa Afikpo Hospital,11/02/1/2/2/0051,Secondary,Private,5.884156667,7.940326667,Ebonyi,NA
Mercy Health Clinic and Maternity,11/12/1/1/2/0076,Primary,Private,6.49011,7.940618333,Ebonyi,NA
Takushara Primary Health Clinic,37/06/1/1/1/0339,Primary,Public,8.8839517115,7.4598351,Fct,NA
Divine Favour Hospital,30/05/1/2/2/0002,Secondary,Private,7.420374,3.9707499,Oyo,NA
Crown Faith Medical Hospital,29/24/1/1/2/0001,Secondary,Private,7.752805,4.890431667,Osun,NA
Ufuma Cottage Hospital,04/19/1/2/1/0001,Secondary,Public,6.07304,7.24104,Anambra,NA
Oluwakemi Convalescent Home,30/32/1/1/2/0015,Primary,Private,8.6585533,3.3858167,Oyo,NA
Salina Nibo Maternity Home,04/06/1/1/2/0029,Primary,Private,6.184285,7.068741667,Anambra,NA
Zabin Kani Health Clinic,15/01/1/1/1/0066,Primary,Public,9.984281667,11.08342167,Gombe,NA
Oba Adenle Memorial Hospital,29/18/1/1/1/0019,Primary,Private,7.619076667,4.73521,Osun,NA
Chisom Ozubulu Hospital Maternity,04/09/1/2/2/0041,Secondary,Private,5.9563323,6.8758395,Anambra,NA
Izunna Hospital,04/17/1/1/2/0032,Secondary,Private,6.252685547,7.144897461,Anambra,NA
Pieta Hospital Maternity,04/10/1/2/2/0027,Secondary,Private,6.123611667,6.793488333,Anambra,NA
Chinenyenwa Maternity Clinic,14/13/1/1/2/0014,Primary,Private,6.8360577,7.4196272,Enugu,NA
Syban Medical Center,24/05/1/1/2/0022,Primary,Private,6.47241,3.344623333,Lagos,NA
Macedonia Hospital Specialist,24/10/1/2/2/0063,Secondary,Private,6.630356667,3.338288333,Lagos,NA
St Anthony Clinic and Maternity,11/05/1/1/2/0006,Primary,Private,6.33977,8.070168333,Ebonyi,NA
Ife Oluwa Clinic and Maternity Home,30/22/1/1/2/0009,Primary,Private,8.1211267,4.2303917,Oyo,NA
Apex Igboukwu Medical Center,04/01/1/2/2/0004,Secondary,Private,6.01735,7.00097,Anambra,NA
Shallom Hospital,27/02/1/2/2/0008,Primary,Private,7.179916667,3.344593333,Ogun,NA
Grace Hospital,27/05/1/2/2/0011,Secondary,Private,6.752573333,3.277821667,Ogun,NA
Emmanuelle Hospital,27/13/1/2/2/0010,Primary,Private,6.951035,3.508485,Ogun,NA
Jolua Hospital,07/13/1/1/1/0039,Secondary,Private,7.749148333,8.544418333,Benue,NA
