facility_code,service_category,service_group,service_detail
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Levonorgestrel
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Pill
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Pill
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Progesterone only injectable
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Male condoms
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Female condoms
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Intrauterine Device (IUD)
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Implant
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Emergency Contraception
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Female Sterilisation
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Depoprovera
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Iron Supplimentation
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Folic acid supplimentation
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Fansidar for malaria prevention (IPT)
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Tetanus Toxoid
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Management of High Blood Pressure in Pregnant women
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Misoprostol
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,ANC job aid
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,IPT guidelines
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,HIV Counselling for Pregnant women
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,HIV Testing
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,ARV Prophylaxis
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,ART for Pregnant women
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,ARV prohpylaxis  for newborn
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Nutrition Counselling
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Family planning  counselling to HIV positve pregnant women
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,PMTCT guideines
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Staff trained in PMTCT last 2 years
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Antibiotics
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Parentel oxytocin
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Magnesium sulphate
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Assisted vaginal
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Manual removal of placenta
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Removal of concetpion products
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Neonatal Rescucitation
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Caesarian section
LL040011,Clinical Services,Clinical Services,Blood transfusion
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Successiful Deliveries
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Ceasarian section
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Obstetrics Job aid in maternal and neonatal care
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Neonatal sucntion bulb single use/multiuse
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Sucntion bulb single use
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Sunction bulb multiuse
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Eye ointment
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Gentamycin injectable 40mg
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Ampicilin
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Hydralazine
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Metronidazole
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Azithromycin
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Benzathine/Benzylpenicin
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Nifedipe
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Methyldopa
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Calcium gluconate
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Magnesium sulphate
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Skin disinfectant
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Chlorhexidine
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,IV Solutions
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Sodium chloride injection solution
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Betamethasone injectable
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Dexamethasone injectable
LL040011,Maternal & Reproductive Health,Maternal & Reproductive Health,Oxytocin
