facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status,service_category,service_group,service_detail
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Hand waship soap
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable gloves
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Bin
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Sharp container
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disinfectant
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable syringes
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Surgical services provided
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Hand waship soap
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable gloves
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Bin
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Sharp container
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disinfectant
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable syringes
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Pill
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Pill
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Injectable
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Male condoms
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Female condoms
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Intrauterine Device (IUD)
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Implant
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Emergency Contraception
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Female Sterilisation
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Depoprovera
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Iron Supplimentation
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Folic acid supplimentation
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Fansidar for malaria prevention (IPT)
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Tetanus Toxoid
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Management of High Blood Pressure in Pregnant women
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Misoprostol
ABC Clinic,LL040007,Hospital,Christian Health Association of Malawi (CHAM),-13.96816,33.74129,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,ANC guidelines
