addo_uid,addo_name,business_type,accreditation_source,po_box,region,region_raw_clean,district,ward,village_street,phone,training_center,latitude,longitude,altitude,gps_source,gps_accuracy,has_coords,gid_region,gid_district,gid_ward
TZ-ADDO-04090,Dldm,Retail A,,,Mbeya,Mbeya,Chunya,Makongorosi,Bwawani,,,-8.4150438914,33.1622203361,1193.0161793211,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B98397700778569
TZ-ADDO-04091,Bariki DLDM,Retail A,TFDA,44,Kigoma,Kigoma,Kigoma Mc,Mwanga Kaskazini,Ujenzi,,Kigoma DC,-4.88875254,29.6482397852,837.2708940839,tablet,4.0,True,36957248B11692782910073,,
TZ-ADDO-04092,Raymond dldm,Retail A,,,Mbeya,Mbeya,Chunya,Makongorosi,Mkola,,,-8.376034538,33.1743927607,1216.4484795235,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B98397700778569
TZ-ADDO-04093,Dulas dldm,Retail A,,,Mbeya,Mbeya,Chunya,Mkola,Mkola,,Bukombe,-8.3757337344,33.1743307295,1197.0999442961,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B28936943466361
TZ-ADDO-04094,Credo DLDM,Retail A,TFDA,645,Kigoma,Kigoma,Kigoma Mc,Katubuka,Mwanga Sokoni,,Kigoma MC,-4.889140784,29.6481604547,829.8903055951,tablet,4.0,True,36957248B11692782910073,,
TZ-ADDO-04095,Chris dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Matundas,Itumbi,,Chunya,-8.3711058256,33.3279206616,1277.7981277286,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B61479611422182
TZ-ADDO-04096,Peace dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Matundas,Itumbi,,Chunya,-8.3707029897,33.3270434801,1286.0494089243,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B61479611422182
TZ-ADDO-04097,Baraka dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Matundas,Itumbi,,Chunya,-8.3715332346,33.3272170799,1289.2481903317,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B61479611422182
TZ-ADDO-04098,Kambo dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Matundas,Itumbi,,Mbeya municipal,-8.3724094536,33.3263933489,1289.4845006992,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B61479611422182
TZ-ADDO-04099,dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Matundas,Matondo,,,-8.4033104685,33.28618353,1291.9659641602,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B61479611422182
TZ-ADDO-04100,Imai dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Matundas,Mayundas,,Chunya,-8.4502993788,33.2708198482,1316.7697072099,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B61479611422182
TZ-ADDO-04101,Simkunda dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Matundas,Matundas,,Chunya,-8.450567662,33.2711280834,1331.6537163055,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B61479611422182
TZ-ADDO-04102,Sister dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Matundas,Matundas,,Chunya,-8.4509805362,33.2710178671,1325.8555258739,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B61479611422182
TZ-ADDO-04103,Chris dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Matundas,Matundas,,Chunya,-8.4509665065,33.2704900151,1326.9895367824,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,66589294B61479611422182
TZ-ADDO-04104,Lam dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Mkwajuni,Mkwajuni,,Mbeya,-8.4447884782,33.0122142271,956.7516606313,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,
TZ-ADDO-04105,Garden dldm,Retail A,Pharmacy Council,,Mbeya,Mbeya,Chunya,Mkwajuni,Mkwajuni,,Mbeya,-8.4441551319,33.0123814835,966.2304608269,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,
TZ-ADDO-04106,Bamboo dldm,Retail A,,,Mbeya,Mbeya,Chunya,Mkwajuni,Mkwajuni,,,-8.4431785969,33.0119043706,964.3084599211,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,
TZ-ADDO-04107,Ebenezer dldm,Retail A,,,Mbeya,Mbeya,Chunya,Mkwajuni,Mkwajuni,,Chunya,-8.4419555637,33.0123602147,970.7599823299,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,
TZ-ADDO-04108,Tawete dldm,Retail A,TFDA,,Mbeya,Mbeya,Chunya,Mkwajuni,Mkwajuni,,Chunya,-8.4446406285,33.0130212748,945.5757214006,tablet,4.0,True,36957248B75876472342648,72390352B92011686492741,
TZ-ADDO-04109,Tabia DLDM,Retail A,TFDA,,Kigoma,Kigoma,Kigoma Mc,Mwanga Kaskazini,Kisangani,,Kigoma DC,-4.886787311,29.6439936457,865.397638291,tablet,4.0,True,36957248B11692782910073,,
